"File","Save","⌃X ⌃S","In Windows"
"Text Editing","Next Column","⌃F","Editing Text"
"Text Editing","Previous Column","⌃B","Editing Text"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Text Editing","Recenter","⌃L","Editing Text"
"Text Editing","Previous Word","⌥B","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Set Mark","⌃Space","Editing Text"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Text Editing","Text End","⌃X ]","Editing Text"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Text Editing","Text Start","Esc ⇧<","Editing Text"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"C/C++ Source","Show outline","⌘O","C/C++ Editor"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Incremental Find","⌘J","Editing Text"
"Search","Declaration in Workspace","⌘G","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Text Editing","Delete Previous","⌃H","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Forward History","⌘]","In Windows"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"C/C++ Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Text Editing","Line Up","⌃P","Editing Text"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Text Editing","Text Start","⌥<","Editing Text"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Edit","Undo","F9","In Windows"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Text Editing","Previous Word","⌥←","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
